No,dteday,Musim,Tahun,Bulan,Jam,Hari_Libur,Hari,Hari_Kerja,Cuaca,Suhu,Suhu yang Dirasakan,Kelembaban,Kecepatan Angin,Jumlah
31,1/2/2011,Musim Dingin,0,Januari,8,Tidak,Sabtu,Tidak,Hujan,0.4,0.4091,0.71,0.2239,8
32,1/2/2011,Musim Dingin,0,Januari,9,Tidak,Sabtu,Tidak,Berawan,0.38,0.3939,0.76,0.2239,20
33,1/2/2011,Musim Dingin,0,Januari,10,Tidak,Sabtu,Tidak,Berawan,0.36,0.3485,0.81,0.2239,53
34,1/2/2011,Musim Dingin,0,Januari,11,Tidak,Sabtu,Tidak,Berawan,0.36,0.3333,0.71,0.2537,70
35,1/2/2011,Musim Dingin,0,Januari,12,Tidak,Sabtu,Tidak,Berawan,0.36,0.3333,0.66,0.2985,93
36,1/2/2011,Musim Dingin,0,Januari,13,Tidak,Sabtu,Tidak,Berawan,0.36,0.3485,0.66,0.1343,75
37,1/2/2011,Musim Dingin,0,Januari,14,Tidak,Sabtu,Tidak,Hujan,0.36,0.3485,0.76,0.194,59
38,1/2/2011,Musim Dingin,0,Januari,15,Tidak,Sabtu,Tidak,Hujan,0.34,0.3333,0.81,0.1642,74
39,1/2/2011,Musim Dingin,0,Januari,16,Tidak,Sabtu,Tidak,Hujan,0.34,0.3333,0.71,0.1642,76
40,1/2/2011,Musim Dingin,0,Januari,17,Tidak,Sabtu,Tidak,Cerah,0.34,0.3333,0.57,0.194,65
41,1/2/2011,Musim Dingin,0,Januari,18,Tidak,Sabtu,Tidak,Berawan,0.36,0.3333,0.46,0.3284,53
42,1/2/2011,Musim Dingin,0,Januari,19,Tidak,Sabtu,Tidak,Cerah,0.32,0.2879,0.42,0.4478,30
43,1/2/2011,Musim Dingin,0,Januari,20,Tidak,Sabtu,Tidak,Cerah,0.3,0.2727,0.39,0.3582,22
44,1/2/2011,Musim Dingin,0,Januari,21,Tidak,Sabtu,Tidak,Cerah,0.26,0.2273,0.44,0.3284,31
45,1/2/2011,Musim Dingin,0,Januari,22,Tidak,Sabtu,Tidak,Cerah,0.24,0.2121,0.44,0.2985,9
46,1/2/2011,Musim Dingin,0,Januari,23,Tidak,Sabtu,Tidak,Cerah,0.22,0.2273,0.47,0.1642,8
47,1/3/2011,Musim Dingin,0,Januari,0,Tidak,Minggu,Iya,Cerah,0.22,0.197,0.44,0.3582,5
48,1/3/2011,Musim Dingin,0,Januari,1,Tidak,Minggu,Iya,Cerah,0.2,0.1667,0.44,0.4179,2
49,1/3/2011,Musim Dingin,0,Januari,4,Tidak,Minggu,Iya,Cerah,0.16,0.1364,0.47,0.3881,1
50,1/3/2011,Musim Dingin,0,Januari,5,Tidak,Minggu,Iya,Cerah,0.16,0.1364,0.47,0.2836,3
51,1/3/2011,Musim Dingin,0,Januari,6,Tidak,Minggu,Iya,Cerah,0.14,0.1061,0.5,0.3881,30
52,1/3/2011,Musim Dingin,0,Januari,7,Tidak,Minggu,Iya,Cerah,0.14,0.1364,0.5,0.194,64
53,1/3/2011,Musim Dingin,0,Januari,8,Tidak,Minggu,Iya,Cerah,0.14,0.1212,0.5,0.2836,154
54,1/3/2011,Musim Dingin,0,Januari,9,Tidak,Minggu,Iya,Cerah,0.16,0.1364,0.43,0.3881,88
55,1/3/2011,Musim Dingin,0,Januari,10,Tidak,Minggu,Iya,Cerah,0.18,0.1667,0.43,0.2537,44
56,1/3/2011,Musim Dingin,0,Januari,11,Tidak,Minggu,Iya,Cerah,0.2,0.1818,0.4,0.3284,51
57,1/3/2011,Musim Dingin,0,Januari,12,Tidak,Minggu,Iya,Cerah,0.22,0.2121,0.35,0.2985,61
58,1/3/2011,Musim Dingin,0,Januari,13,Tidak,Minggu,Iya,Cerah,0.24,0.2121,0.35,0.2836,61
59,1/3/2011,Musim Dingin,0,Januari,14,Tidak,Minggu,Iya,Cerah,0.26,0.2424,0.3,0.2836,77
60,1/3/2011,Musim Dingin,0,Januari,15,Tidak,Minggu,Iya,Cerah,0.26,0.2424,0.3,0.2537,72
61,1/3/2011,Musim Dingin,0,Januari,16,Tidak,Minggu,Iya,Cerah,0.26,0.2424,0.3,0.2537,76
62,1/3/2011,Musim Dingin,0,Januari,17,Tidak,Minggu,Iya,Cerah,0.24,0.2273,0.3,0.2239,157
63,1/3/2011,Musim Dingin,0,Januari,18,Tidak,Minggu,Iya,Cerah,0.24,0.2576,0.32,0.1045,157
64,1/3/2011,Musim Dingin,0,Januari,19,Tidak,Minggu,Iya,Cerah,0.2,0.2576,0.47,0,110
65,1/3/2011,Musim Dingin,0,Januari,20,Tidak,Minggu,Iya,Cerah,0.2,0.2273,0.47,0.1045,52
66,1/3/2011,Musim Dingin,0,Januari,21,Tidak,Minggu,Iya,Cerah,0.18,0.197,0.64,0.1343,52
67,1/3/2011,Musim Dingin,0,Januari,22,Tidak,Minggu,Iya,Cerah,0.14,0.1515,0.69,0.1343,20
68,1/3/2011,Musim Dingin,0,Januari,23,Tidak,Minggu,Iya,Cerah,0.18,0.2121,0.55,0.1045,12
69,1/4/2011,Musim Dingin,0,Januari,0,Tidak,Senin,Iya,Cerah,0.16,0.1818,0.55,0.1045,5
70,1/4/2011,Musim Dingin,0,Januari,1,Tidak,Senin,Iya,Cerah,0.16,0.1818,0.59,0.1045,2
71,1/4/2011,Musim Dingin,0,Januari,2,Tidak,Senin,Iya,Cerah,0.14,0.1515,0.63,0.1343,1
72,1/4/2011,Musim Dingin,0,Januari,4,Tidak,Senin,Iya,Cerah,0.14,0.1818,0.63,0.0896,2
73,1/4/2011,Musim Dingin,0,Januari,5,Tidak,Senin,Iya,Cerah,0.12,0.1515,0.68,0.1045,4
74,1/4/2011,Musim Dingin,0,Januari,6,Tidak,Senin,Iya,Cerah,0.12,0.1515,0.74,0.1045,36
75,1/4/2011,Musim Dingin,0,Januari,7,Tidak,Senin,Iya,Cerah,0.12,0.1515,0.74,0.1343,94
76,1/4/2011,Musim Dingin,0,Januari,8,Tidak,Senin,Iya,Cerah,0.14,0.1515,0.69,0.1642,179
77,1/4/2011,Musim Dingin,0,Januari,9,Tidak,Senin,Iya,Cerah,0.16,0.1515,0.64,0.2239,100
78,1/4/2011,Musim Dingin,0,Januari,10,Tidak,Senin,Iya,Berawan,0.16,0.1364,0.69,0.3284,42
79,1/4/2011,Musim Dingin,0,Januari,11,Tidak,Senin,Iya,Cerah,0.22,0.2121,0.51,0.2985,57
80,1/4/2011,Musim Dingin,0,Januari,12,Tidak,Senin,Iya,Cerah,0.22,0.2273,0.51,0.1642,78
81,1/4/2011,Musim Dingin,0,Januari,13,Tidak,Senin,Iya,Cerah,0.24,0.2273,0.56,0.194,97
82,1/4/2011,Musim Dingin,0,Januari,14,Tidak,Senin,Iya,Cerah,0.26,0.2576,0.52,0.2239,63
83,1/4/2011,Musim Dingin,0,Januari,15,Tidak,Senin,Iya,Cerah,0.28,0.2727,0.52,0.2537,65
84,1/4/2011,Musim Dingin,0,Januari,16,Tidak,Senin,Iya,Cerah,0.3,0.2879,0.49,0.2537,83
85,1/4/2011,Musim Dingin,0,Januari,17,Tidak,Senin,Iya,Cerah,0.28,0.2727,0.48,0.2239,212
86,1/4/2011,Musim Dingin,0,Januari,18,Tidak,Senin,Iya,Cerah,0.26,0.2576,0.48,0.194,182
87,1/4/2011,Musim Dingin,0,Januari,19,Tidak,Senin,Iya,Cerah,0.24,0.2576,0.48,0.1045,112
88,1/4/2011,Musim Dingin,0,Januari,20,Tidak,Senin,Iya,Cerah,0.24,0.2576,0.48,0.1045,54
89,1/4/2011,Musim Dingin,0,Januari,21,Tidak,Senin,Iya,Cerah,0.22,0.2727,0.64,0,48
90,1/4/2011,Musim Dingin,0,Januari,22,Tidak,Senin,Iya,Cerah,0.22,0.2576,0.64,0.0896,35
91,1/4/2011,Musim Dingin,0,Januari,23,Tidak,Senin,Iya,Cerah,0.2,0.2273,0.69,0.0896,11
92,1/5/2011,Musim Dingin,0,Januari,0,Tidak,Selasa,Iya,Cerah,0.2,0.2576,0.64,0,6
93,1/5/2011,Musim Dingin,0,Januari,1,Tidak,Selasa,Iya,Cerah,0.16,0.197,0.74,0.0896,6
94,1/5/2011,Musim Dingin,0,Januari,2,Tidak,Selasa,Iya,Cerah,0.16,0.197,0.74,0.0896,2
95,1/5/2011,Musim Dingin,0,Januari,4,Tidak,Selasa,Iya,Cerah,0.24,0.2273,0.48,0.2239,2
96,1/5/2011,Musim Dingin,0,Januari,5,Tidak,Selasa,Iya,Cerah,0.22,0.2273,0.47,0.1642,3
97,1/5/2011,Musim Dingin,0,Januari,6,Tidak,Selasa,Iya,Cerah,0.2,0.197,0.47,0.2239,33
98,1/5/2011,Musim Dingin,0,Januari,7,Tidak,Selasa,Iya,Cerah,0.18,0.1818,0.43,0.194,88
99,1/5/2011,Musim Dingin,0,Januari,8,Tidak,Selasa,Iya,Cerah,0.2,0.1818,0.4,0.2985,195
100,1/5/2011,Musim Dingin,0,Januari,9,Tidak,Selasa,Iya,Cerah,0.22,0.197,0.37,0.3284,115
101,1/5/2011,Musim Dingin,0,Januari,10,Tidak,Selasa,Iya,Cerah,0.22,0.197,0.37,0.3284,57
102,1/5/2011,Musim Dingin,0,Januari,11,Tidak,Selasa,Iya,Cerah,0.26,0.2273,0.33,0.3284,46
103,1/5/2011,Musim Dingin,0,Januari,12,Tidak,Selasa,Iya,Cerah,0.26,0.2273,0.33,0.3284,79
104,1/5/2011,Musim Dingin,0,Januari,13,Tidak,Selasa,Iya,Cerah,0.28,0.2576,0.3,0.2985,71
105,1/5/2011,Musim Dingin,0,Januari,14,Tidak,Selasa,Iya,Cerah,0.3,0.2879,0.28,0.194,62
106,1/5/2011,Musim Dingin,0,Januari,15,Tidak,Selasa,Iya,Cerah,0.3,0.2879,0.28,0.194,62
107,1/5/2011,Musim Dingin,0,Januari,16,Tidak,Selasa,Iya,Cerah,0.3,0.3182,0.28,0.0896,89
108,1/5/2011,Musim Dingin,0,Januari,17,Tidak,Selasa,Iya,Cerah,0.24,0.2273,0.38,0.194,190
109,1/5/2011,Musim Dingin,0,Januari,18,Tidak,Selasa,Iya,Cerah,0.24,0.2424,0.38,0.1343,169
110,1/5/2011,Musim Dingin,0,Januari,19,Tidak,Selasa,Iya,Cerah,0.24,0.2576,0.38,0.1045,132
111,1/5/2011,Musim Dingin,0,Januari,20,Tidak,Selasa,Iya,Cerah,0.22,0.2273,0.47,0.1642,89
112,1/5/2011,Musim Dingin,0,Januari,21,Tidak,Selasa,Iya,Cerah,0.2,0.197,0.51,0.194,43
113,1/5/2011,Musim Dingin,0,Januari,22,Tidak,Selasa,Iya,Cerah,0.18,0.197,0.55,0.1343,42
114,1/5/2011,Musim Dingin,0,Januari,23,Tidak,Selasa,Iya,Cerah,0.2,0.2576,0.47,0,19
115,1/6/2011,Musim Dingin,0,Januari,0,Tidak,Rabu,Iya,Cerah,0.18,0.2424,0.55,0,11
116,1/6/2011,Musim Dingin,0,Januari,1,Tidak,Rabu,Iya,Cerah,0.16,0.2273,0.64,0,4
117,1/6/2011,Musim Dingin,0,Januari,2,Tidak,Rabu,Iya,Cerah,0.16,0.2273,0.64,0,2
118,1/6/2011,Musim Dingin,0,Januari,4,Tidak,Rabu,Iya,Berawan,0.16,0.197,0.64,0.0896,1
119,1/6/2011,Musim Dingin,0,Januari,5,Tidak,Rabu,Iya,Berawan,0.14,0.1818,0.69,0.0896,4
120,1/6/2011,Musim Dingin,0,Januari,6,Tidak,Rabu,Iya,Berawan,0.14,0.1667,0.63,0.1045,36
121,1/6/2011,Musim Dingin,0,Januari,7,Tidak,Rabu,Iya,Berawan,0.16,0.2273,0.59,0,95
122,1/6/2011,Musim Dingin,0,Januari,8,Tidak,Rabu,Iya,Cerah,0.16,0.2273,0.59,0,219
123,1/6/2011,Musim Dingin,0,Januari,9,Tidak,Rabu,Iya,Berawan,0.18,0.2424,0.51,0,122
124,1/6/2011,Musim Dingin,0,Januari,10,Tidak,Rabu,Iya,Cerah,0.2,0.2576,0.47,0,45
125,1/6/2011,Musim Dingin,0,Januari,11,Tidak,Rabu,Iya,Cerah,0.22,0.2576,0.44,0.0896,59
126,1/6/2011,Musim Dingin,0,Januari,12,Tidak,Rabu,Iya,Cerah,0.26,0.2879,0.35,0,84
127,1/6/2011,Musim Dingin,0,Januari,13,Tidak,Rabu,Iya,Cerah,0.26,0.2727,0.35,0.1045,67
128,1/6/2011,Musim Dingin,0,Januari,14,Tidak,Rabu,Iya,Cerah,0.28,0.2727,0.36,0.1642,70
129,1/6/2011,Musim Dingin,0,Januari,15,Tidak,Rabu,Iya,Cerah,0.28,0.2727,0.36,0,62
130,1/6/2011,Musim Dingin,0,Januari,16,Tidak,Rabu,Iya,Cerah,0.26,0.2576,0.38,0.1642,86
131,1/6/2011,Musim Dingin,0,Januari,17,Tidak,Rabu,Iya,Cerah,0.22,0.2273,0.51,0.1642,172
132,1/6/2011,Musim Dingin,0,Januari,18,Tidak,Rabu,Iya,Cerah,0.22,0.2273,0.51,0.1343,163
133,1/6/2011,Musim Dingin,0,Januari,19,Tidak,Rabu,Iya,Cerah,0.22,0.2576,0.55,0.0896,112
134,1/6/2011,Musim Dingin,0,Januari,20,Tidak,Rabu,Iya,Cerah,0.2,0.2121,0.51,0.1642,69
135,1/6/2011,Musim Dingin,0,Januari,21,Tidak,Rabu,Iya,Berawan,0.22,0.2121,0.55,0.2239,48
136,1/6/2011,Musim Dingin,0,Januari,22,Tidak,Rabu,Iya,Berawan,0.22,0.2121,0.51,0.2836,52
137,1/6/2011,Musim Dingin,0,Januari,23,Tidak,Rabu,Iya,Berawan,0.2,0.197,0.59,0.194,23
138,1/7/2011,Musim Dingin,0,Januari,0,Tidak,Kamis,Iya,Berawan,0.2,0.197,0.64,0.194,17
139,1/7/2011,Musim Dingin,0,Januari,1,Tidak,Kamis,Iya,Berawan,0.2,0.197,0.69,0.2239,7
140,1/7/2011,Musim Dingin,0,Januari,2,Tidak,Kamis,Iya,Berawan,0.2,0.197,0.69,0.2239,1
141,1/7/2011,Musim Dingin,0,Januari,4,Tidak,Kamis,Iya,Berawan,0.2,0.2121,0.69,0.1343,1
142,1/7/2011,Musim Dingin,0,Januari,5,Tidak,Kamis,Iya,Hujan,0.22,0.2727,0.55,0,5
143,1/7/2011,Musim Dingin,0,Januari,6,Tidak,Kamis,Iya,Berawan,0.2,0.2576,0.69,0,34
144,1/7/2011,Musim Dingin,0,Januari,7,Tidak,Kamis,Iya,Cerah,0.2,0.2121,0.69,0.1343,84
145,1/7/2011,Musim Dingin,0,Januari,8,Tidak,Kamis,Iya,Cerah,0.2,0.197,0.51,0.2537,210
146,1/7/2011,Musim Dingin,0,Januari,9,Tidak,Kamis,Iya,Cerah,0.2,0.1818,0.47,0.2985,134
147,1/7/2011,Musim Dingin,0,Januari,10,Tidak,Kamis,Iya,Cerah,0.22,0.197,0.37,0.3284,63
148,1/7/2011,Musim Dingin,0,Januari,11,Tidak,Kamis,Iya,Berawan,0.2,0.197,0.4,0.2239,67
149,1/7/2011,Musim Dingin,0,Januari,12,Tidak,Kamis,Iya,Berawan,0.2,0.197,0.37,0.2537,59
150,1/7/2011,Musim Dingin,0,Januari,13,Tidak,Kamis,Iya,Berawan,0.2,0.1818,0.37,0.2836,73
151,1/7/2011,Musim Dingin,0,Januari,14,Tidak,Kamis,Iya,Berawan,0.2,0.197,0.4,0.2537,50
152,1/7/2011,Musim Dingin,0,Januari,15,Tidak,Kamis,Iya,Berawan,0.2,0.2121,0.37,0.1642,72
153,1/7/2011,Musim Dingin,0,Januari,16,Tidak,Kamis,Iya,Berawan,0.2,0.2121,0.37,0.1642,87
154,1/7/2011,Musim Dingin,0,Januari,17,Tidak,Kamis,Iya,Berawan,0.2,0.2576,0.37,0,187
155,1/7/2011,Musim Dingin,0,Januari,18,Tidak,Kamis,Iya,Cerah,0.2,0.2273,0.4,0.0896,123
156,1/7/2011,Musim Dingin,0,Januari,19,Tidak,Kamis,Iya,Cerah,0.16,0.197,0.55,0.0896,95
157,1/7/2011,Musim Dingin,0,Januari,20,Tidak,Kamis,Iya,Cerah,0.18,0.2121,0.47,0.1045,51
158,1/7/2011,Musim Dingin,0,Januari,21,Tidak,Kamis,Iya,Cerah,0.18,0.197,0.47,0.1343,39
159,1/7/2011,Musim Dingin,0,Januari,22,Tidak,Kamis,Iya,Berawan,0.18,0.197,0.43,0.1642,36
160,1/7/2011,Musim Dingin,0,Januari,23,Tidak,Kamis,Iya,Berawan,0.18,0.197,0.51,0.1642,15
161,1/8/2011,Musim Dingin,0,Januari,0,Tidak,Jumat,Tidak,Berawan,0.18,0.197,0.51,0.1642,25
162,1/8/2011,Musim Dingin,0,Januari,1,Tidak,Jumat,Tidak,Berawan,0.18,0.2121,0.55,0.0896,16
163,1/8/2011,Musim Dingin,0,Januari,2,Tidak,Jumat,Tidak,Berawan,0.18,0.2424,0.55,0,16
164,1/8/2011,Musim Dingin,0,Januari,3,Tidak,Jumat,Tidak,Hujan,0.18,0.197,0.55,0.1642,7
165,1/8/2011,Musim Dingin,0,Januari,4,Tidak,Jumat,Tidak,Hujan,0.18,0.197,0.55,0.1642,1
166,1/8/2011,Musim Dingin,0,Januari,5,Tidak,Jumat,Tidak,Berawan,0.16,0.1667,0.74,0.1642,5
167,1/8/2011,Musim Dingin,0,Januari,6,Tidak,Jumat,Tidak,Berawan,0.16,0.1667,0.74,0.1642,2
168,1/8/2011,Musim Dingin,0,Januari,7,Tidak,Jumat,Tidak,Berawan,0.16,0.1818,0.74,0.1045,9
169,1/8/2011,Musim Dingin,0,Januari,8,Tidak,Jumat,Tidak,Hujan,0.16,0.1818,0.93,0.1045,15
170,1/8/2011,Musim Dingin,0,Januari,9,Tidak,Jumat,Tidak,Hujan,0.16,0.1818,0.93,0.1045,20
171,1/8/2011,Musim Dingin,0,Januari,10,Tidak,Jumat,Tidak,Berawan,0.18,0.197,0.8,0.1642,61
172,1/8/2011,Musim Dingin,0,Januari,11,Tidak,Jumat,Tidak,Berawan,0.2,0.1818,0.69,0.3881,62
173,1/8/2011,Musim Dingin,0,Januari,12,Tidak,Jumat,Tidak,Berawan,0.2,0.1818,0.59,0.3582,98
174,1/8/2011,Musim Dingin,0,Januari,13,Tidak,Jumat,Tidak,Cerah,0.2,0.1818,0.44,0.3284,102
175,1/8/2011,Musim Dingin,0,Januari,14,Tidak,Jumat,Tidak,Cerah,0.2,0.1667,0.32,0.4925,95
176,1/8/2011,Musim Dingin,0,Januari,15,Tidak,Jumat,Tidak,Cerah,0.2,0.1667,0.32,0.4478,74
177,1/8/2011,Musim Dingin,0,Januari,16,Tidak,Jumat,Tidak,Cerah,0.18,0.1364,0.29,0.4478,76
178,1/8/2011,Musim Dingin,0,Januari,17,Tidak,Jumat,Tidak,Cerah,0.16,0.1212,0.37,0.5522,69
179,1/8/2011,Musim Dingin,0,Januari,18,Tidak,Jumat,Tidak,Cerah,0.14,0.1212,0.39,0.2985,55
180,1/8/2011,Musim Dingin,0,Januari,19,Tidak,Jumat,Tidak,Cerah,0.14,0.1212,0.36,0.2537,30
181,1/8/2011,Musim Dingin,0,Januari,20,Tidak,Jumat,Tidak,Cerah,0.12,0.1212,0.36,0.2537,28
182,1/8/2011,Musim Dingin,0,Januari,21,Tidak,Jumat,Tidak,Cerah,0.12,0.1061,0.39,0.3582,37
183,1/8/2011,Musim Dingin,0,Januari,22,Tidak,Jumat,Tidak,Cerah,0.12,0.1061,0.36,0.3881,34
184,1/8/2011,Musim Dingin,0,Januari,23,Tidak,Jumat,Tidak,Cerah,0.1,0.0606,0.39,0.4478,22
185,1/9/2011,Musim Dingin,0,Januari,0,Tidak,Sabtu,Tidak,Cerah,0.1,0.0758,0.42,0.3881,25
186,1/9/2011,Musim Dingin,0,Januari,1,Tidak,Sabtu,Tidak,Cerah,0.1,0.0606,0.42,0.4627,12
187,1/9/2011,Musim Dingin,0,Januari,2,Tidak,Sabtu,Tidak,Cerah,0.1,0.0606,0.46,0.4627,11
188,1/9/2011,Musim Dingin,0,Januari,3,Tidak,Sabtu,Tidak,Cerah,0.1,0.0758,0.46,0.4179,4
189,1/9/2011,Musim Dingin,0,Januari,4,Tidak,Sabtu,Tidak,Cerah,0.08,0.0909,0.53,0.194,1
190,1/9/2011,Musim Dingin,0,Januari,5,Tidak,Sabtu,Tidak,Cerah,0.08,0.0909,0.53,0.194,1
191,1/9/2011,Musim Dingin,0,Januari,6,Tidak,Sabtu,Tidak,Cerah,0.1,0.0909,0.49,0.2836,1
192,1/9/2011,Musim Dingin,0,Januari,7,Tidak,Sabtu,Tidak,Cerah,0.08,0.0909,0.53,0.194,6
193,1/9/2011,Musim Dingin,0,Januari,8,Tidak,Sabtu,Tidak,Cerah,0.1,0.0909,0.49,0.2836,10
194,1/9/2011,Musim Dingin,0,Januari,9,Tidak,Sabtu,Tidak,Cerah,0.12,0.0758,0.46,0.5224,19
195,1/9/2011,Musim Dingin,0,Januari,10,Tidak,Sabtu,Tidak,Cerah,0.14,0.1061,0.43,0.3881,49
196,1/9/2011,Musim Dingin,0,Januari,11,Tidak,Sabtu,Tidak,Cerah,0.16,0.1212,0.4,0.5224,49
197,1/9/2011,Musim Dingin,0,Januari,12,Tidak,Sabtu,Tidak,Cerah,0.18,0.1364,0.37,0.4478,83
198,1/9/2011,Musim Dingin,0,Januari,13,Tidak,Sabtu,Tidak,Cerah,0.2,0.1667,0.34,0.4478,75
199,1/9/2011,Musim Dingin,0,Januari,14,Tidak,Sabtu,Tidak,Cerah,0.22,0.1818,0.32,0.4627,72
200,1/9/2011,Musim Dingin,0,Januari,15,Tidak,Sabtu,Tidak,Cerah,0.22,0.197,0.35,0.3582,82
201,1/9/2011,Musim Dingin,0,Januari,16,Tidak,Sabtu,Tidak,Cerah,0.2,0.1667,0.34,0.4478,92
202,1/9/2011,Musim Dingin,0,Januari,17,Tidak,Sabtu,Tidak,Cerah,0.18,0.1515,0.37,0.3881,62
203,1/9/2011,Musim Dingin,0,Januari,18,Tidak,Sabtu,Tidak,Cerah,0.16,0.1364,0.4,0.3284,48
204,1/9/2011,Musim Dingin,0,Januari,19,Tidak,Sabtu,Tidak,Cerah,0.16,0.1364,0.43,0.3284,41
205,1/9/2011,Musim Dingin,0,Januari,20,Tidak,Sabtu,Tidak,Cerah,0.14,0.1212,0.46,0.2537,38
206,1/9/2011,Musim Dingin,0,Januari,21,Tidak,Sabtu,Tidak,Cerah,0.14,0.1061,0.46,0.4179,20
207,1/9/2011,Musim Dingin,0,Januari,22,Tidak,Sabtu,Tidak,Cerah,0.14,0.1212,0.46,0.2985,15
208,1/9/2011,Musim Dingin,0,Januari,23,Tidak,Sabtu,Tidak,Cerah,0.12,0.1364,0.5,0.194,6
209,1/10/2011,Musim Dingin,0,Januari,0,Tidak,Minggu,Iya,Cerah,0.12,0.1212,0.5,0.2836,5
210,1/10/2011,Musim Dingin,0,Januari,1,Tidak,Minggu,Iya,Cerah,0.12,0.1212,0.5,0.2836,1
211,1/10/2011,Musim Dingin,0,Januari,2,Tidak,Minggu,Iya,Cerah,0.12,0.1212,0.5,0.2239,3
212,1/10/2011,Musim Dingin,0,Januari,3,Tidak,Minggu,Iya,Cerah,0.12,0.1212,0.5,0.2239,1
213,1/10/2011,Musim Dingin,0,Januari,4,Tidak,Minggu,Iya,Cerah,0.1,0.1212,0.54,0.1343,3
214,1/10/2011,Musim Dingin,0,Januari,5,Tidak,Minggu,Iya,Cerah,0.1,0.1061,0.54,0.2537,3
215,1/10/2011,Musim Dingin,0,Januari,6,Tidak,Minggu,Iya,Cerah,0.12,0.1212,0.5,0.2836,31
